[1, 37]
[4, 40]
[4, 39]
[9, 45]
[9, 44]
[11, 47]
[11, 46]
[13, 14]
[13, 49]
[14, 50]
[14, 49]
[17, 53]
[17, 52]
[19, 20]
[20, 56]
[22, 58]
[22, 57]
[27, 28]
[27, 63]
[27, 62]
[28, 63]
[33, 69]
[37, 38]
[37, 72]
[38, 39]
[38, 4]
[39, 40]
[39, 75]
[40, 75]
[44, 45]
[44, 80]
[45, 46]
[45, 11]
[45, 81]
[45, 80]
[46, 47]
[46, 82]
[46, 81]
[47, 13]
[47, 82]
[49, 50]
[50, 51]
[50, 86]
[51, 52]
[51, 17]
[51, 86]
[52, 53]
[53, 19]
[56, 57]
[56, 22]
[56, 92]
[57, 58]
[57, 92]
[60, 61]
[60, 96]
[60, 95]
[61, 62]
[61, 27]
[61, 96]
[62, 63]
[62, 28]
[71, 72]
[71, 37]
[71, 106]
[72, 38]
[75, 110]
[77, 78]
[77, 113]
[77, 112]
[78, 44]
[78, 114]
[78, 113]
[80, 81]
[80, 46]
[80, 116]
[81, 82]
[81, 47]
[81, 117]
[81, 116]
[82, 118]
[82, 117]
[86, 52]
[86, 122]
[90, 56]
[90, 126]
[90, 125]
[92, 58]
[92, 127]
[95, 96]
[95, 61]
[95, 130]
[96, 62]
[96, 132]
[102, 138]
[106, 72]
[106, 142]
[106, 141]
[109, 110]
[109, 75]
[109, 145]
[109, 144]
[110, 146]
[110, 145]
[112, 113]
[112, 78]
[113, 114]
[114, 80]
[114, 150]
[116, 117]
[116, 82]
[116, 152]
[116, 151]
[117, 118]
[117, 152]
[120, 86]
[120, 156]
[120, 155]
[124, 125]
[124, 90]
[124, 160]
[124, 159]
[125, 126]
[125, 160]
[126, 127]
[126, 92]
[126, 162]
[127, 163]
[127, 162]
[129, 130]
[129, 95]
[129, 165]
[129, 164]
[130, 96]
[130, 165]
[132, 133]
[132, 168]
[132, 167]
[133, 134]
[133, 169]
[133, 168]
[134, 100]
[134, 169]
[138, 174]
[140, 141]
[140, 106]
[140, 176]
[140, 175]
[141, 142]
[141, 176]
[144, 145]
[144, 110]
[144, 179]
[145, 146]
[146, 112]
[150, 151]
[150, 116]
[151, 152]
[151, 117]
[151, 187]
[152, 118]
[152, 188]
[152, 187]
[155, 156]
[155, 191]
[155, 190]
[156, 122]
[156, 192]
[156, 191]
[159, 160]
[159, 125]
[159, 194]
[160, 126]
[160, 196]
[162, 163]
[162, 197]
[163, 164]
[163, 129]
[164, 165]
[164, 130]
[164, 200]
[165, 200]
[167, 168]
[167, 133]
[167, 202]
[168, 169]
[168, 134]
[168, 204]
[169, 205]
[169, 204]
[171, 206]
[175, 176]
[175, 141]
[175, 211]
[176, 142]
[176, 211]
[179, 145]
[179, 215]
[179, 214]
[187, 188]
[187, 222]
[188, 189]
[188, 224]
[189, 190]
[189, 155]
[189, 224]
[190, 191]
[190, 156]
[191, 192]
[191, 227]
[192, 193]
[192, 227]
[193, 194]
[193, 159]
[194, 160]
[196, 197]
[196, 162]
[197, 163]
[197, 233]
[202, 168]
[202, 238]
[202, 237]
[204, 205]
[205, 206]
[205, 171]
[206, 242]
[214, 215]
[222, 188]
[224, 190]
[227, 193]
[233, 234]
[234, 200]
[237, 238]
[238, 204]
[242, 243]
