[0, 36]
[6, 42]
[8, 44]
[8, 43]
[13, 48]
[15, 16]
[15, 51]
[16, 52]
[16, 51]
[19, 20]
[19, 55]
[19, 54]
[20, 21]
[20, 55]
[21, 22]
[21, 57]
[22, 57]
[25, 26]
[25, 61]
[25, 60]
[26, 27]
[26, 61]
[27, 28]
[27, 63]
[28, 29]
[28, 64]
[28, 63]
[29, 64]
[36, 2]
[36, 72]
[36, 71]
[42, 43]
[42, 8]
[42, 78]
[43, 44]
[43, 78]
[44, 80]
[48, 83]
[51, 52]
[51, 86]
[54, 55]
[54, 20]
[54, 89]
[55, 21]
[55, 91]
[57, 93]
[60, 61]
[60, 26]
[60, 96]
[60, 95]
[61, 27]
[61, 97]
[61, 96]
[63, 64]
[63, 29]
[64, 100]
[70, 71]
[70, 36]
[71, 72]
[71, 107]
[72, 108]
[72, 107]
[78, 44]
[80, 81]
[80, 115]
[81, 82]
[82, 83]
[82, 48]
[83, 119]
[85, 86]
[85, 51]
[85, 120]
[86, 52]
[86, 122]
[89, 55]
[91, 57]
[91, 126]
[93, 129]
[93, 128]
[95, 96]
[95, 61]
[95, 131]
[95, 130]
[96, 97]
[96, 132]
[96, 131]
[97, 63]
[97, 133]
[97, 132]
[100, 135]
[102, 137]
[107, 108]
[107, 143]
[107, 142]
[108, 143]
[111, 112]
[111, 147]
[111, 146]
[112, 78]
[112, 148]
[112, 147]
[115, 81]
[119, 120]
[119, 85]
[119, 154]
[120, 86]
[120, 156]
[122, 123]
[123, 89]
[128, 129]
[128, 163]
[129, 130]
[129, 95]
[130, 131]
[130, 96]
[131, 132]
[131, 97]
[131, 167]
[132, 133]
[132, 167]
[133, 134]
[134, 135]
[134, 100]
[134, 170]
[135, 170]
[137, 173]
[137, 172]
[142, 143]
[142, 108]
[142, 178]
[143, 179]
[143, 178]
[145, 146]
[145, 111]
[145, 181]
[146, 147]
[146, 112]
[146, 182]
[146, 181]
[147, 148]
[147, 183]
[147, 182]
[148, 183]
[153, 154]
[153, 119]
[153, 189]
[154, 120]
[154, 190]
[154, 189]
[156, 122]
[163, 129]
[163, 198]
[167, 133]
[170, 206]
[170, 205]
[172, 173]
[172, 208]
[173, 174]
[173, 208]
[178, 179]
[178, 214]
[179, 145]
[179, 215]
[179, 214]
[181, 182]
[181, 147]
[181, 217]
[181, 216]
[182, 183]
[182, 148]
[182, 218]
[182, 217]
[183, 218]
[186, 187]
[186, 222]
[186, 221]
[187, 153]
[187, 223]
[187, 222]
[189, 190]
[189, 225]
[189, 224]
[190, 156]
[190, 225]
[195, 196]
[201, 167]
[201, 237]
[205, 206]
[205, 241]
[205, 240]
[206, 172]
[206, 242]
[206, 241]
[208, 174]
[214, 215]
[215, 216]
[215, 181]
[216, 217]
[216, 182]
[217, 218]
[217, 183]
[220, 221]
[220, 186]
[221, 222]
[221, 187]
[222, 223]
[223, 224]
[223, 189]
[224, 225]
[224, 190]
[227, 228]
[235, 201]
[237, 238]
[238, 239]
[239, 240]
[239, 205]
[240, 241]
[240, 206]
[241, 242]
[242, 208]
