[1, 36]
[3, 4]
[3, 39]
[4, 5]
[4, 40]
[4, 39]
[5, 40]
[26, 27]
[26, 62]
[27, 63]
[27, 62]
[39, 40]
[39, 5]
[39, 75]
[39, 74]
[40, 76]
[40, 75]
[42, 43]
[43, 44]
[50, 16]
[50, 85]
[53, 89]
[53, 88]
[55, 21]
[55, 91]
[55, 90]
[62, 63]
[62, 98]
[62, 97]
[63, 98]
[73, 74]
[73, 39]
[73, 108]
[74, 75]
[74, 40]
[75, 76]
[75, 111]
[76, 42]
[76, 111]
[84, 85]
[84, 50]
[84, 120]
[85, 120]
[88, 89]
[88, 123]
[89, 90]
[89, 55]
[90, 91]
[94, 95]
[95, 96]
[96, 97]
[96, 62]
[97, 98]
[97, 63]
[105, 141]
[105, 140]
[108, 74]
[108, 144]
[114, 150]
[116, 151]
[118, 84]
[118, 153]
[120, 155]
[123, 89]
[123, 159]
[123, 158]
[128, 94]
[128, 164]
[138, 173]
[140, 141]
[141, 177]
[144, 145]
[144, 179]
[145, 111]
[150, 151]
[150, 116]
[150, 186]
[151, 186]
[153, 188]
[155, 191]
[158, 159]
[158, 193]
[162, 128]
[167, 202]
[169, 170]
[169, 205]
[169, 204]
[170, 171]
[170, 206]
[170, 205]
[171, 172]
[171, 206]
[172, 173]
[172, 138]
[177, 213]
[177, 212]
[179, 145]
[179, 214]
[184, 150]
[186, 222]
[186, 221]
[188, 223]
[193, 159]
[193, 228]
[204, 205]
[204, 170]
[204, 239]
[205, 206]
[205, 171]
[206, 172]
[212, 213]
[213, 214]
[213, 179]
[216, 217]
[221, 222]
[222, 223]
[222, 188]
[225, 191]
[231, 232]
[239, 205]
