[0, 35]
[3, 4]
[3, 39]
[3, 38]
[4, 5]
[4, 39]
[8, 43]
[12, 13]
[12, 48]
[12, 47]
[13, 49]
[13, 48]
[15, 51]
[15, 50]
[19, 20]
[19, 55]
[20, 21]
[20, 56]
[20, 55]
[21, 56]
[23, 59]
[23, 58]
[25, 61]
[25, 60]
[28, 29]
[28, 64]
[29, 65]
[29, 64]
[31, 66]
[35, 71]
[35, 70]
[38, 39]
[38, 4]
[38, 74]
[38, 73]
[39, 5]
[39, 74]
[42, 43]
[42, 8]
[42, 77]
[43, 79]
[45, 46]
[45, 81]
[45, 80]
[46, 47]
[46, 12]
[46, 81]
[47, 48]
[47, 13]
[48, 49]
[49, 50]
[49, 15]
[50, 51]
[50, 86]
[51, 86]
[55, 56]
[55, 21]
[58, 59]
[59, 60]
[59, 25]
[60, 61]
[61, 62]
[62, 28]
[62, 98]
[64, 65]
[64, 100]
[65, 66]
[65, 31]
[65, 100]
[70, 71]
[70, 105]
[71, 72]
[71, 107]
[72, 73]
[72, 38]
[72, 107]
[73, 74]
[73, 39]
[73, 109]
[74, 109]
[77, 43]
[77, 112]
[79, 80]
[79, 45]
[79, 115]
[79, 114]
[80, 81]
[80, 46]
[80, 115]
[81, 47]
[81, 117]
[88, 124]
[88, 123]
[98, 64]
[98, 133]
[100, 66]
[100, 135]
[105, 71]
[107, 73]
[107, 142]
[109, 145]
[111, 112]
[111, 77]
[111, 146]
[114, 115]
[114, 80]
[114, 150]
[115, 81]
[115, 151]
[115, 150]
[117, 118]
[117, 153]
[117, 152]
[118, 154]
[118, 153]
[120, 86]
[120, 155]
[123, 124]
[123, 158]
[126, 127]
[126, 161]
[127, 163]
[129, 130]
[129, 164]
[130, 166]
[132, 133]
[132, 98]
[132, 168]
[132, 167]
[133, 168]
[135, 170]
[142, 177]
[145, 146]
[145, 111]
[145, 181]
[145, 180]
[146, 112]
[146, 181]
[150, 151]
[150, 185]
[151, 152]
[151, 117]
[152, 153]
[152, 118]
[153, 154]
[154, 155]
[154, 120]
[154, 190]
[155, 190]
[158, 124]
[158, 193]
[161, 127]
[161, 197]
[163, 164]
[163, 129]
[163, 199]
[164, 130]
[164, 200]
[164, 199]
[166, 167]
[166, 132]
[166, 202]
[166, 201]
[167, 168]
[167, 133]
[167, 202]
[170, 205]
[172, 138]
[177, 213]
[179, 180]
[179, 145]
[179, 214]
[180, 181]
[180, 146]
[185, 151]
[185, 220]
[190, 225]
[193, 229]
[197, 163]
[197, 232]
[199, 200]
[199, 235]
[200, 201]
[200, 166]
[200, 236]
[200, 235]
[201, 202]
[201, 167]
[201, 237]
[201, 236]
[202, 168]
[202, 237]
[205, 241]
[205, 240]
[210, 211]
[211, 177]
[213, 214]
[213, 179]
[214, 180]
[218, 219]
[219, 220]
[219, 185]
[224, 225]
[224, 190]
[227, 193]
[235, 236]
[235, 201]
[236, 237]
[236, 202]
[240, 241]
