[0, 36]
[2, 3]
[3, 4]
[3, 39]
[4, 39]
[6, 42]
[6, 41]
[14, 15]
[14, 50]
[14, 49]
[15, 16]
[15, 50]
[18, 54]
[18, 53]
[23, 24]
[23, 59]
[23, 58]
[24, 25]
[24, 60]
[24, 59]
[25, 26]
[25, 60]
[26, 27]
[26, 62]
[27, 63]
[27, 62]
[32, 67]
[34, 69]
[36, 2]
[41, 42]
[41, 77]
[41, 76]
[42, 43]
[42, 77]
[43, 44]
[43, 79]
[44, 45]
[44, 80]
[44, 79]
[45, 81]
[45, 80]
[48, 49]
[48, 14]
[49, 50]
[49, 15]
[50, 16]
[50, 86]
[53, 54]
[56, 57]
[57, 58]
[57, 23]
[58, 59]
[58, 24]
[58, 94]
[59, 60]
[59, 25]
[59, 94]
[60, 26]
[62, 63]
[62, 98]
[63, 64]
[63, 99]
[63, 98]
[64, 30]
[64, 99]
[67, 103]
[67, 102]
[69, 104]
[76, 77]
[76, 42]
[76, 111]
[77, 43]
[77, 113]
[79, 80]
[79, 45]
[79, 114]
[80, 81]
[81, 82]
[81, 117]
[82, 48]
[82, 118]
[82, 117]
[86, 122]
[94, 60]
[98, 99]
[98, 64]
[98, 134]
[98, 133]
[99, 134]
[101, 102]
[101, 67]
[101, 137]
[102, 103]
[102, 137]
[103, 104]
[103, 69]
[105, 141]
[107, 108]
[108, 109]
[108, 144]
[109, 110]
[109, 145]
[109, 144]
[110, 111]
[110, 76]
[110, 145]
[111, 77]
[111, 147]
[113, 114]
[113, 79]
[113, 149]
[113, 148]
[114, 80]
[114, 149]
[117, 118]
[117, 153]
[118, 119]
[118, 153]
[122, 123]
[122, 158]
[122, 157]
[123, 159]
[123, 158]
[125, 126]
[125, 161]
[126, 162]
[126, 161]
[128, 94]
[132, 133]
[132, 98]
[133, 134]
[133, 99]
[134, 170]
[137, 103]
[141, 107]
[141, 177]
[144, 145]
[144, 110]
[144, 179]
[145, 111]
[147, 148]
[147, 113]
[148, 149]
[148, 114]
[148, 184]
[149, 185]
[149, 184]
[151, 117]
[151, 187]
[153, 119]
[153, 189]
[156, 157]
[156, 122]
[156, 192]
[156, 191]
[157, 158]
[157, 123]
[157, 192]
[158, 159]
[159, 125]
[159, 195]
[161, 162]
[161, 196]
[162, 128]
[162, 198]
[170, 206]
[175, 141]
[175, 210]
[177, 213]
[177, 212]
[179, 145]
[179, 215]
[184, 185]
[184, 220]
[185, 151]
[185, 220]
[187, 153]
[189, 224]
[191, 192]
[191, 157]
[191, 227]
[192, 158]
[192, 227]
[195, 196]
[195, 161]
[195, 231]
[196, 162]
[196, 231]
[198, 199]
[198, 234]
[198, 233]
[199, 234]
[203, 204]
[203, 239]
[203, 238]
[204, 170]
[204, 239]
[206, 207]
[206, 242]
[207, 243]
[207, 242]
[212, 213]
[213, 179]
[215, 216]
[233, 234]
[233, 199]
[238, 239]
[238, 204]
[242, 243]
