[2, 38]
[6, 7]
[6, 42]
[6, 41]
[7, 8]
[7, 42]
[8, 44]
[10, 46]
[16, 52]
[25, 61]
[25, 60]
[30, 31]
[30, 65]
[33, 69]
[33, 68]
[38, 74]
[41, 42]
[41, 7]
[41, 76]
[42, 8]
[44, 10]
[46, 81]
[50, 16]
[50, 86]
[52, 18]
[52, 88]
[52, 87]
[60, 61]
[61, 62]
[62, 63]
[63, 64]
[64, 65]
[64, 30]
[65, 31]
[68, 69]
[68, 104]
[68, 103]
[69, 104]
[72, 38]
[72, 108]
[76, 42]
[76, 112]
[81, 117]
[83, 84]
[83, 119]
[84, 50]
[84, 120]
[84, 119]
[86, 87]
[86, 52]
[87, 88]
[88, 124]
[90, 126]
[94, 60]
[94, 130]
[94, 129]
[103, 104]
[103, 69]
[103, 139]
[103, 138]
[104, 139]
[108, 74]
[108, 144]
[108, 143]
[117, 83]
[119, 120]
[119, 154]
[120, 86]
[124, 90]
[124, 159]
[126, 127]
[129, 130]
[130, 131]
[131, 167]
[133, 169]
[133, 168]
[136, 137]
[137, 138]
[137, 103]
[137, 173]
[138, 139]
[138, 104]
[138, 173]
[143, 144]
[143, 179]
[144, 179]
[146, 112]
[146, 182]
[150, 151]
[151, 117]
[154, 120]
[154, 190]
[154, 189]
[157, 158]
[158, 159]
[158, 124]
[167, 168]
[167, 133]
[167, 203]
[168, 169]
[168, 203]
[169, 170]
[169, 205]
[170, 136]
[170, 205]
[173, 139]
[173, 208]
[177, 143]
[177, 213]
[179, 215]
[182, 183]
[182, 218]
[183, 219]
[183, 218]
[188, 189]
[188, 154]
[188, 223]
[189, 190]
[189, 225]
[190, 191]
[190, 225]
[191, 157]
[191, 227]
[201, 167]
[203, 169]
[203, 238]
[208, 244]
[213, 179]
[218, 219]
[219, 220]
[222, 223]
[222, 188]
[223, 189]
[225, 191]
[227, 228]
[230, 231]
[231, 232]
[242, 208]
