[0, 36]
[2, 38]
[5, 6]
[5, 41]
[5, 40]
[6, 7]
[6, 41]
[7, 8]
[7, 43]
[8, 9]
[8, 43]
[9, 10]
[10, 46]
[12, 47]
[14, 50]
[14, 49]
[16, 51]
[26, 27]
[26, 61]
[31, 32]
[31, 67]
[32, 67]
[36, 2]
[36, 71]
[38, 73]
[40, 41]
[40, 6]
[40, 75]
[41, 7]
[41, 77]
[43, 9]
[43, 78]
[46, 47]
[46, 12]
[46, 82]
[47, 82]
[49, 50]
[49, 84]
[50, 51]
[50, 16]
[50, 86]
[51, 86]
[57, 93]
[57, 92]
[61, 27]
[61, 96]
[67, 102]
[71, 106]
[73, 109]
[75, 41]
[75, 110]
[77, 78]
[77, 43]
[78, 114]
[82, 118]
[82, 117]
[84, 50]
[86, 122]
[86, 121]
[89, 124]
[91, 92]
[91, 57]
[92, 93]
[96, 132]
[96, 131]
[102, 138]
[104, 139]
[106, 142]
[109, 110]
[109, 75]
[110, 146]
[114, 150]
[117, 118]
[118, 84]
[118, 154]
[121, 122]
[121, 157]
[122, 157]
[124, 160]
[130, 131]
[130, 96]
[131, 132]
[131, 167]
[132, 167]
[134, 135]
[134, 169]
[138, 139]
[138, 104]
[138, 173]
[142, 178]
[150, 186]
[150, 185]
[154, 189]
[164, 130]
[164, 200]
[164, 199]
[169, 135]
[169, 205]
[173, 139]
[173, 208]
[175, 210]
[178, 179]
[178, 214]
[178, 213]
[179, 214]
[185, 186]
[185, 220]
[186, 222]
[199, 200]
[199, 235]
[199, 234]
[200, 235]
[208, 244]
[212, 213]
[212, 178]
[213, 214]
[213, 179]
[220, 186]
[222, 223]
[223, 189]
[234, 235]
[234, 200]
[239, 205]
[242, 208]
