[3, 39]
[8, 9]
[8, 44]
[9, 44]
[11, 47]
[13, 48]
[19, 55]
[24, 25]
[24, 60]
[25, 26]
[25, 60]
[26, 27]
[37, 3]
[37, 72]
[41, 77]
[47, 48]
[47, 13]
[47, 83]
[48, 84]
[48, 83]
[53, 19]
[53, 89]
[55, 56]
[55, 90]
[56, 22]
[60, 26]
[60, 95]
[65, 100]
[81, 47]
[81, 116]
[83, 84]
[83, 118]
[89, 90]
[89, 55]
[89, 124]
[90, 56]
[94, 95]
[94, 60]
[94, 130]
[95, 130]
[100, 136]
[102, 103]
[102, 138]
[103, 138]
[111, 77]
[116, 152]
[118, 84]
[118, 153]
[124, 90]
[124, 160]
[128, 94]
[130, 166]
[130, 165]
[134, 100]
[136, 102]
[138, 174]
[138, 173]
[142, 178]
[152, 153]
[152, 118]
[152, 188]
[152, 187]
[153, 189]
[153, 188]
[160, 195]
[165, 166]
[166, 202]
[168, 134]
[168, 204]
[168, 203]
[173, 174]
[173, 209]
[173, 208]
[174, 209]
[176, 142]
[176, 212]
[176, 211]
[180, 215]
[187, 188]
[187, 153]
[187, 223]
[188, 189]
[188, 224]
[188, 223]
[189, 155]
[189, 225]
[189, 224]
[194, 195]
[194, 160]
[194, 230]
[194, 229]
[195, 231]
[195, 230]
[197, 198]
[197, 232]
[202, 203]
[202, 168]
[203, 204]
[204, 240]
[208, 209]
[208, 174]
[211, 212]
[212, 178]
[223, 224]
[223, 189]
[224, 225]
[229, 230]
[229, 195]
[230, 231]
[231, 232]
[231, 197]
[232, 198]
[240, 241]
