[1, 2]
[2, 3]
[5, 41]
[5, 40]
[10, 46]
[14, 50]
[16, 51]
[20, 21]
[20, 56]
[21, 56]
[26, 62]
[28, 64]
[28, 63]
[31, 32]
[31, 67]
[32, 67]
[35, 1]
[40, 41]
[40, 75]
[41, 42]
[41, 77]
[42, 8]
[42, 78]
[42, 77]
[46, 47]
[46, 82]
[47, 48]
[47, 82]
[48, 14]
[50, 51]
[50, 16]
[50, 86]
[51, 86]
[56, 91]
[62, 63]
[62, 28]
[63, 64]
[64, 100]
[67, 103]
[67, 102]
[74, 75]
[74, 40]
[74, 110]
[75, 41]
[75, 110]
[77, 78]
[77, 113]
[78, 114]
[78, 113]
[82, 48]
[82, 118]
[82, 117]
[86, 122]
[86, 121]
[91, 126]
[100, 135]
[102, 103]
[102, 137]
[103, 139]
[106, 141]
[110, 145]
[113, 114]
[113, 149]
[114, 115]
[114, 150]
[114, 149]
[115, 116]
[115, 151]
[115, 150]
[116, 117]
[116, 82]
[116, 151]
[117, 118]
[118, 154]
[121, 122]
[121, 157]
[122, 123]
[122, 157]
[123, 124]
[123, 159]
[124, 160]
[124, 159]
[130, 131]
[131, 132]
[131, 167]
[132, 168]
[132, 167]
[135, 171]
[137, 103]
[137, 172]
[139, 174]
[141, 176]
[147, 113]
[149, 150]
[149, 115]
[149, 184]
[150, 151]
[150, 116]
[151, 117]
[151, 187]
[157, 123]
[157, 193]
[157, 192]
[159, 160]
[159, 194]
[160, 126]
[167, 168]
[168, 169]
[169, 135]
[171, 172]
[171, 137]
[171, 206]
[172, 208]
[178, 214]
[184, 150]
[184, 219]
[187, 223]
[192, 193]
[192, 227]
[193, 194]
[193, 159]
[193, 229]
[194, 160]
[194, 229]
[197, 198]
[198, 199]
[199, 200]
[200, 201]
[200, 236]
[201, 167]
[201, 237]
[201, 236]
[206, 172]
[206, 241]
[208, 174]
[214, 215]
[221, 187]
[227, 193]
[236, 237]
