[0, 36]
[2, 37]
[8, 44]
[8, 43]
[11, 46]
[14, 15]
[15, 16]
[15, 51]
[16, 17]
[16, 51]
[17, 53]
[19, 20]
[19, 55]
[20, 55]
[23, 24]
[24, 25]
[24, 60]
[25, 60]
[27, 62]
[29, 65]
[31, 32]
[31, 67]
[32, 67]
[34, 69]
[36, 37]
[36, 2]
[36, 72]
[37, 72]
[43, 44]
[43, 78]
[44, 80]
[48, 14]
[48, 83]
[51, 17]
[51, 87]
[51, 86]
[53, 19]
[53, 88]
[57, 23]
[57, 93]
[57, 92]
[60, 96]
[60, 95]
[62, 97]
[65, 31]
[65, 100]
[67, 103]
[67, 102]
[69, 104]
[70, 36]
[76, 77]
[76, 112]
[77, 78]
[77, 43]
[77, 113]
[77, 112]
[78, 44]
[78, 113]
[80, 46]
[80, 116]
[80, 115]
[83, 119]
[85, 86]
[85, 51]
[86, 87]
[86, 122]
[87, 88]
[87, 53]
[87, 123]
[87, 122]
[88, 124]
[88, 123]
[92, 93]
[93, 94]
[93, 129]
[94, 95]
[94, 60]
[94, 130]
[94, 129]
[95, 96]
[95, 131]
[95, 130]
[96, 97]
[96, 62]
[96, 132]
[96, 131]
[97, 132]
[99, 100]
[99, 65]
[99, 134]
[102, 103]
[102, 138]
[102, 137]
[103, 104]
[103, 69]
[103, 139]
[103, 138]
[104, 139]
[109, 144]
[112, 113]
[112, 78]
[112, 147]
[113, 149]
[115, 116]
[115, 151]
[115, 150]
[116, 117]
[116, 151]
[117, 83]
[117, 153]
[119, 85]
[119, 155]
[122, 123]
[122, 88]
[122, 157]
[123, 124]
[123, 159]
[124, 125]
[124, 160]
[124, 159]
[125, 161]
[125, 160]
[129, 130]
[129, 95]
[129, 165]
[130, 131]
[130, 96]
[130, 165]
[131, 132]
[131, 97]
[131, 167]
[132, 168]
[132, 167]
[134, 100]
[134, 170]
[137, 138]
[137, 103]
[138, 139]
[138, 104]
[138, 174]
[139, 174]
[140, 176]
[143, 144]
[143, 109]
[143, 179]
[143, 178]
[144, 180]
[144, 179]
[146, 147]
[146, 112]
[146, 182]
[146, 181]
[147, 113]
[147, 183]
[147, 182]
[149, 150]
[149, 115]
[149, 185]
[150, 151]
[150, 116]
[150, 185]
[151, 117]
[151, 187]
[153, 119]
[153, 189]
[153, 188]
[155, 190]
[157, 123]
[157, 193]
[157, 192]
[159, 160]
[159, 125]
[160, 161]
[160, 196]
[161, 162]
[161, 197]
[161, 196]
[162, 198]
[162, 197]
[165, 131]
[165, 200]
[167, 168]
[167, 202]
[168, 134]
[168, 204]
[170, 171]
[170, 206]
[171, 137]
[171, 207]
[171, 206]
[174, 209]
[176, 177]
[176, 212]
[177, 178]
[177, 143]
[177, 212]
[178, 179]
[178, 144]
[179, 180]
[180, 181]
[180, 146]
[180, 216]
[181, 182]
[181, 147]
[181, 217]
[181, 216]
[182, 183]
[182, 217]
[183, 149]
[185, 151]
[185, 221]
[187, 188]
[187, 153]
[187, 223]
[187, 222]
[188, 189]
[188, 224]
[188, 223]
[189, 190]
[189, 155]
[189, 224]
[190, 226]
[192, 193]
[193, 159]
[193, 229]
[196, 197]
[196, 162]
[196, 232]
[196, 231]
[197, 198]
[197, 233]
[197, 232]
[198, 199]
[198, 233]
[199, 200]
[199, 165]
[199, 235]
[200, 236]
[200, 235]
[202, 168]
[202, 237]
[204, 170]
[204, 239]
[206, 207]
[207, 208]
[207, 243]
[208, 209]
[208, 174]
[208, 244]
[208, 243]
[209, 244]
[212, 178]
[216, 217]
[216, 182]
[217, 183]
[221, 222]
[221, 187]
[222, 223]
[222, 188]
[223, 224]
[223, 189]
[224, 190]
[226, 192]
[231, 232]
[231, 197]
[232, 233]
[232, 198]
[233, 199]
[235, 236]
[236, 237]
[236, 202]
[243, 244]
[243, 209]
