[0, 35]
[3, 39]
[3, 38]
[5, 6]
[5, 40]
[6, 7]
[6, 42]
[7, 43]
[7, 42]
[9, 44]
[13, 48]
[15, 16]
[15, 50]
[16, 17]
[20, 56]
[20, 55]
[25, 26]
[25, 61]
[26, 27]
[26, 62]
[26, 61]
[27, 62]
[29, 30]
[29, 64]
[30, 31]
[30, 66]
[31, 32]
[31, 66]
[32, 33]
[32, 68]
[33, 69]
[33, 68]
[35, 70]
[38, 39]
[38, 73]
[39, 40]
[39, 5]
[39, 75]
[40, 6]
[40, 76]
[40, 75]
[42, 43]
[42, 78]
[43, 44]
[43, 9]
[43, 79]
[43, 78]
[44, 80]
[44, 79]
[46, 82]
[46, 81]
[48, 84]
[48, 83]
[50, 16]
[50, 85]
[54, 55]
[54, 20]
[54, 90]
[54, 89]
[55, 56]
[55, 91]
[55, 90]
[56, 22]
[56, 92]
[56, 91]
[59, 25]
[59, 95]
[61, 62]
[61, 27]
[61, 96]
[62, 98]
[64, 30]
[66, 32]
[66, 102]
[66, 101]
[68, 69]
[68, 104]
[68, 103]
[69, 104]
[70, 105]
[72, 73]
[72, 38]
[72, 107]
[73, 39]
[73, 109]
[75, 76]
[75, 111]
[75, 110]
[76, 42]
[76, 112]
[76, 111]
[78, 79]
[78, 44]
[78, 114]
[78, 113]
[79, 80]
[79, 114]
[80, 81]
[80, 46]
[80, 116]
[81, 82]
[81, 117]
[81, 116]
[82, 83]
[82, 48]
[82, 117]
[83, 84]
[84, 85]
[84, 50]
[87, 88]
[88, 89]
[88, 54]
[88, 124]
[89, 90]
[89, 55]
[89, 125]
[89, 124]
[90, 91]
[90, 56]
[90, 126]
[90, 125]
[91, 92]
[91, 127]
[91, 126]
[92, 128]
[92, 127]
[95, 96]
[95, 61]
[95, 131]
[95, 130]
[96, 62]
[96, 131]
[98, 64]
[98, 134]
[101, 102]
[101, 136]
[102, 103]
[102, 68]
[102, 138]
[103, 104]
[103, 69]
[103, 139]
[103, 138]
[104, 139]
[105, 140]
[107, 73]
[107, 142]
[109, 110]
[109, 75]
[109, 145]
[110, 111]
[110, 76]
[110, 146]
[110, 145]
[111, 112]
[111, 147]
[111, 146]
[112, 113]
[112, 78]
[112, 148]
[112, 147]
[113, 114]
[113, 79]
[113, 148]
[114, 80]
[116, 117]
[116, 82]
[116, 152]
[116, 151]
[117, 83]
[117, 152]
[124, 125]
[124, 90]
[124, 160]
[125, 126]
[125, 91]
[125, 161]
[125, 160]
[126, 127]
[126, 92]
[126, 162]
[126, 161]
[127, 128]
[127, 163]
[127, 162]
[128, 164]
[128, 163]
[130, 131]
[130, 96]
[130, 166]
[130, 165]
[131, 166]
[134, 135]
[134, 169]
[135, 136]
[135, 101]
[136, 102]
[136, 172]
[138, 139]
[138, 104]
[138, 173]
[142, 178]
[145, 146]
[145, 111]
[145, 181]
[146, 147]
[146, 112]
[146, 181]
[147, 148]
[147, 113]
[148, 114]
[151, 152]
[151, 117]
[151, 187]
[152, 188]
[152, 187]
[154, 155]
[154, 190]
[155, 190]
[157, 193]
[160, 161]
[160, 126]
[160, 196]
[160, 195]
[161, 162]
[161, 127]
[161, 196]
[162, 163]
[162, 128]
[162, 198]
[163, 164]
[163, 199]
[163, 198]
[164, 165]
[164, 130]
[164, 199]
[165, 166]
[165, 131]
[166, 202]
[169, 135]
[169, 205]
[172, 173]
[172, 138]
[172, 208]
[173, 139]
[173, 209]
[173, 208]
[178, 179]
[179, 145]
[181, 147]
[181, 217]
[181, 216]
[185, 151]
[185, 221]
[187, 188]
[187, 222]
[188, 154]
[188, 224]
[190, 225]
[193, 228]
[195, 196]
[195, 161]
[195, 231]
[195, 230]
[196, 162]
[196, 232]
[196, 231]
[198, 199]
[198, 164]
[198, 234]
[198, 233]
[199, 165]
[199, 235]
[199, 234]
[202, 203]
[202, 238]
[202, 237]
[203, 169]
[203, 238]
[205, 206]
[206, 172]
[208, 209]
[208, 243]
[211, 212]
[212, 178]
[216, 217]
[217, 218]
[218, 219]
[219, 185]
[221, 222]
[221, 187]
[222, 188]
[224, 225]
[224, 190]
[230, 231]
[230, 196]
[231, 232]
[232, 233]
[232, 198]
[233, 234]
[233, 199]
[234, 235]
[235, 236]
[236, 237]
[236, 202]
[237, 238]
[237, 203]
[243, 209]
