[1, 36]
[10, 11]
[10, 46]
[10, 45]
[11, 46]
[13, 14]
[13, 49]
[13, 48]
[14, 15]
[14, 49]
[15, 51]
[19, 20]
[19, 55]
[19, 54]
[20, 21]
[20, 56]
[20, 55]
[21, 57]
[21, 56]
[23, 24]
[23, 59]
[23, 58]
[24, 25]
[24, 60]
[24, 59]
[25, 26]
[25, 61]
[25, 60]
[26, 62]
[26, 61]
[31, 32]
[31, 67]
[31, 66]
[32, 68]
[32, 67]
[34, 69]
[39, 40]
[39, 75]
[40, 41]
[40, 76]
[40, 75]
[41, 42]
[41, 77]
[41, 76]
[42, 43]
[42, 77]
[43, 44]
[44, 45]
[44, 10]
[44, 80]
[45, 46]
[45, 11]
[45, 81]
[45, 80]
[46, 82]
[46, 81]
[48, 49]
[48, 14]
[49, 15]
[51, 52]
[51, 87]
[52, 53]
[52, 87]
[53, 54]
[53, 19]
[53, 89]
[54, 55]
[54, 20]
[54, 90]
[54, 89]
[55, 56]
[55, 21]
[55, 91]
[55, 90]
[56, 57]
[56, 91]
[57, 58]
[57, 23]
[57, 93]
[58, 59]
[58, 24]
[58, 94]
[58, 93]
[59, 60]
[59, 25]
[59, 95]
[59, 94]
[60, 61]
[60, 26]
[60, 96]
[60, 95]
[61, 62]
[61, 96]
[62, 63]
[62, 98]
[63, 64]
[63, 99]
[63, 98]
[64, 65]
[64, 99]
[65, 66]
[65, 31]
[65, 101]
[66, 67]
[66, 32]
[66, 102]
[66, 101]
[67, 68]
[67, 103]
[67, 102]
[68, 69]
[68, 34]
[68, 104]
[68, 103]
[69, 104]
[73, 39]
[73, 109]
[73, 108]
[75, 76]
[75, 41]
[76, 77]
[76, 42]
[76, 112]
[77, 43]
[77, 112]
[80, 81]
[80, 46]
[80, 116]
[81, 82]
[81, 116]
[82, 48]
[82, 118]
[87, 53]
[89, 90]
[89, 55]
[89, 125]
[89, 124]
[90, 91]
[90, 56]
[90, 125]
[91, 57]
[91, 127]
[93, 94]
[93, 59]
[93, 128]
[94, 95]
[94, 60]
[95, 96]
[95, 61]
[95, 131]
[96, 62]
[96, 131]
[98, 99]
[98, 64]
[98, 134]
[98, 133]
[99, 65]
[99, 134]
[101, 102]
[101, 67]
[101, 137]
[101, 136]
[102, 103]
[102, 68]
[102, 138]
[102, 137]
[103, 104]
[103, 69]
[103, 138]
[105, 141]
[108, 109]
[109, 75]
[109, 145]
[112, 148]
[112, 147]
[116, 82]
[116, 151]
[118, 154]
[121, 87]
[121, 157]
[121, 156]
[124, 125]
[124, 90]
[124, 159]
[125, 91]
[125, 161]
[127, 128]
[127, 93]
[127, 163]
[127, 162]
[128, 94]
[128, 163]
[131, 167]
[133, 134]
[133, 99]
[133, 168]
[136, 137]
[136, 102]
[137, 138]
[137, 103]
[138, 104]
[138, 174]
[141, 142]
[142, 108]
[142, 178]
[145, 146]
[145, 181]
[145, 180]
[146, 147]
[146, 112]
[146, 181]
[147, 148]
[148, 149]
[148, 184]
[149, 150]
[149, 185]
[149, 184]
[150, 151]
[150, 116]
[150, 185]
[151, 187]
[154, 155]
[154, 189]
[155, 156]
[155, 121]
[156, 157]
[157, 193]
[159, 125]
[159, 194]
[161, 162]
[161, 127]
[161, 197]
[161, 196]
[162, 163]
[162, 128]
[162, 198]
[162, 197]
[163, 199]
[163, 198]
[167, 168]
[167, 133]
[167, 203]
[167, 202]
[168, 134]
[168, 203]
[174, 209]
[175, 141]
[175, 210]
[178, 179]
[178, 213]
[179, 180]
[179, 145]
[180, 181]
[180, 146]
[180, 216]
[181, 147]
[181, 217]
[181, 216]
[184, 185]
[184, 150]
[184, 219]
[185, 151]
[189, 155]
[189, 225]
[189, 224]
[193, 194]
[193, 159]
[196, 197]
[196, 162]
[197, 198]
[197, 163]
[197, 233]
[198, 199]
[198, 234]
[198, 233]
[199, 234]
[201, 202]
[201, 167]
[201, 236]
[202, 203]
[202, 168]
[205, 206]
[206, 242]
[208, 209]
[208, 174]
[208, 244]
[209, 244]
[213, 179]
[216, 217]
[219, 185]
[224, 225]
[225, 226]
[233, 234]
[233, 199]
[236, 202]
[242, 208]
