[5, 41]
[8, 9]
[8, 44]
[9, 44]
[11, 12]
[11, 47]
[11, 46]
[12, 13]
[12, 48]
[12, 47]
[13, 14]
[13, 48]
[14, 15]
[14, 50]
[15, 16]
[15, 50]
[16, 52]
[19, 20]
[19, 55]
[19, 54]
[20, 55]
[22, 58]
[24, 60]
[24, 59]
[26, 27]
[26, 62]
[26, 61]
[27, 62]
[29, 30]
[29, 65]
[30, 31]
[30, 65]
[31, 32]
[35, 71]
[35, 70]
[41, 42]
[42, 8]
[44, 79]
[46, 47]
[46, 12]
[46, 81]
[47, 48]
[47, 13]
[47, 83]
[48, 14]
[48, 84]
[48, 83]
[50, 16]
[50, 86]
[52, 87]
[54, 55]
[54, 20]
[54, 90]
[55, 90]
[58, 59]
[58, 24]
[58, 94]
[58, 93]
[59, 60]
[59, 94]
[60, 61]
[60, 26]
[61, 62]
[61, 27]
[62, 98]
[65, 31]
[65, 101]
[65, 100]
[70, 71]
[70, 106]
[71, 37]
[71, 107]
[71, 106]
[81, 47]
[81, 117]
[83, 84]
[83, 119]
[84, 50]
[84, 120]
[84, 119]
[86, 87]
[86, 52]
[90, 125]
[93, 94]
[93, 59]
[94, 60]
[98, 99]
[98, 133]
[99, 100]
[99, 65]
[99, 135]
[100, 101]
[100, 136]
[100, 135]
[101, 102]
[101, 137]
[101, 136]
[102, 137]
[106, 107]
[106, 142]
[106, 141]
[107, 108]
[107, 143]
[107, 142]
[108, 144]
[108, 143]
[113, 79]
[113, 149]
[113, 148]
[117, 83]
[119, 120]
[119, 155]
[120, 86]
[120, 155]
[124, 125]
[124, 90]
[124, 160]
[125, 161]
[125, 160]
[132, 133]
[132, 98]
[132, 168]
[132, 167]
[133, 99]
[133, 169]
[133, 168]
[135, 136]
[135, 101]
[136, 137]
[136, 102]
[140, 141]
[140, 106]
[140, 176]
[141, 142]
[141, 107]
[141, 176]
[142, 143]
[142, 108]
[143, 144]
[144, 145]
[144, 180]
[145, 146]
[145, 180]
[146, 182]
[148, 149]
[148, 184]
[149, 184]
[157, 158]
[157, 193]
[158, 124]
[158, 193]
[160, 161]
[167, 168]
[167, 133]
[167, 203]
[168, 169]
[168, 204]
[168, 203]
[169, 135]
[169, 205]
[169, 204]
[174, 209]
[176, 142]
[176, 212]
[176, 211]
[180, 146]
[182, 148]
[182, 218]
[182, 217]
[184, 220]
[184, 219]
[193, 229]
[198, 199]
[198, 234]
[198, 233]
[199, 200]
[199, 234]
[200, 236]
[203, 204]
[203, 169]
[204, 205]
[204, 240]
[205, 206]
[205, 240]
[206, 207]
[209, 244]
[211, 212]
[214, 180]
[217, 218]
[218, 219]
[218, 184]
[219, 220]
[220, 221]
[223, 224]
[227, 193]
[229, 230]
[232, 233]
[232, 198]
[233, 234]
[233, 199]
[234, 200]
[240, 206]
