[1, 36]
[3, 4]
[3, 38]
[4, 40]
[6, 42]
[13, 48]
[15, 16]
[15, 51]
[15, 50]
[16, 52]
[16, 51]
[19, 55]
[19, 54]
[21, 22]
[21, 57]
[22, 23]
[22, 57]
[23, 24]
[23, 59]
[24, 25]
[24, 60]
[24, 59]
[25, 60]
[29, 30]
[29, 65]
[29, 64]
[30, 66]
[30, 65]
[32, 33]
[32, 68]
[32, 67]
[33, 69]
[33, 68]
[38, 4]
[40, 6]
[40, 75]
[42, 43]
[42, 77]
[43, 44]
[43, 79]
[44, 45]
[44, 79]
[45, 11]
[45, 81]
[50, 51]
[50, 16]
[50, 86]
[50, 85]
[51, 52]
[51, 86]
[52, 88]
[54, 55]
[55, 21]
[55, 91]
[57, 23]
[59, 60]
[59, 25]
[59, 94]
[60, 96]
[63, 64]
[63, 29]
[64, 65]
[64, 30]
[65, 66]
[66, 67]
[66, 32]
[66, 102]
[67, 68]
[67, 33]
[67, 103]
[67, 102]
[68, 69]
[68, 103]
[70, 36]
[70, 106]
[75, 110]
[77, 43]
[77, 113]
[77, 112]
[79, 45]
[85, 86]
[85, 51]
[85, 121]
[86, 52]
[86, 121]
[88, 54]
[88, 124]
[91, 57]
[91, 127]
[94, 60]
[94, 130]
[94, 129]
[96, 97]
[97, 63]
[102, 103]
[102, 68]
[102, 137]
[103, 69]
[106, 107]
[109, 110]
[109, 75]
[112, 113]
[112, 147]
[113, 79]
[113, 149]
[118, 153]
[121, 157]
[121, 156]
[124, 159]
[127, 128]
[127, 163]
[128, 129]
[128, 94]
[128, 164]
[128, 163]
[129, 130]
[129, 164]
[130, 96]
[136, 137]
[136, 102]
[137, 103]
[137, 173]
[147, 113]
[147, 182]
[149, 185]
[151, 187]
[153, 188]
[155, 156]
[155, 121]
[155, 191]
[155, 190]
[156, 157]
[156, 192]
[156, 191]
[157, 192]
[159, 195]
[161, 127]
[161, 196]
[163, 164]
[163, 129]
[163, 199]
[163, 198]
[164, 130]
[164, 200]
[164, 199]
[173, 174]
[173, 208]
[176, 212]
[176, 211]
[178, 179]
[178, 213]
[179, 215]
[182, 217]
[185, 151]
[187, 188]
[187, 153]
[187, 222]
[190, 191]
[190, 156]
[190, 226]
[191, 192]
[191, 157]
[191, 227]
[191, 226]
[192, 227]
[195, 196]
[195, 161]
[195, 231]
[195, 230]
[196, 232]
[196, 231]
[198, 199]
[198, 164]
[198, 233]
[199, 200]
[203, 204]
[203, 238]
[208, 174]
[210, 211]
[210, 176]
[211, 212]
[212, 213]
[212, 178]
[213, 179]
[222, 188]
[226, 227]
[226, 192]
[229, 230]
[229, 195]
[230, 231]
[230, 196]
[231, 232]
[232, 233]
[232, 198]
[233, 199]
[238, 204]
