[0, 35]
[6, 42]
[12, 48]
[14, 49]
[18, 19]
[18, 54]
[18, 53]
[19, 55]
[19, 54]
[22, 58]
[24, 60]
[27, 28]
[27, 63]
[27, 62]
[28, 29]
[28, 63]
[29, 30]
[29, 65]
[30, 65]
[33, 34]
[33, 69]
[33, 68]
[34, 69]
[40, 6]
[40, 76]
[42, 43]
[42, 78]
[43, 44]
[43, 78]
[44, 45]
[44, 80]
[45, 81]
[45, 80]
[48, 49]
[48, 14]
[49, 85]
[51, 86]
[53, 54]
[53, 19]
[53, 89]
[53, 88]
[54, 55]
[54, 89]
[55, 56]
[55, 91]
[56, 22]
[56, 91]
[58, 24]
[58, 94]
[60, 61]
[60, 95]
[61, 62]
[61, 27]
[61, 97]
[62, 63]
[62, 28]
[62, 98]
[62, 97]
[63, 29]
[63, 99]
[63, 98]
[65, 101]
[67, 68]
[67, 33]
[67, 102]
[68, 69]
[68, 34]
[68, 104]
[69, 104]
[76, 42]
[78, 44]
[80, 81]
[80, 116]
[81, 116]
[85, 86]
[85, 51]
[85, 121]
[85, 120]
[86, 122]
[86, 121]
[88, 89]
[88, 54]
[88, 124]
[88, 123]
[89, 55]
[89, 124]
[91, 127]
[91, 126]
[94, 95]
[94, 60]
[94, 130]
[94, 129]
[95, 61]
[95, 131]
[95, 130]
[97, 98]
[97, 63]
[97, 132]
[98, 99]
[98, 134]
[99, 65]
[99, 134]
[101, 102]
[101, 67]
[101, 137]
[102, 68]
[102, 138]
[102, 137]
[106, 107]
[106, 142]
[106, 141]
[107, 143]
[107, 142]
[109, 110]
[109, 145]
[109, 144]
[110, 76]
[110, 145]
[118, 119]
[118, 154]
[118, 153]
[119, 120]
[119, 85]
[119, 155]
[119, 154]
[120, 121]
[120, 86]
[120, 155]
[121, 122]
[121, 157]
[122, 123]
[122, 88]
[122, 158]
[122, 157]
[123, 124]
[123, 89]
[123, 158]
[126, 127]
[126, 161]
[127, 128]
[127, 163]
[128, 129]
[128, 94]
[128, 164]
[128, 163]
[129, 130]
[129, 95]
[129, 164]
[130, 131]
[130, 166]
[131, 132]
[131, 97]
[131, 167]
[131, 166]
[132, 98]
[132, 168]
[132, 167]
[137, 138]
[137, 172]
[138, 104]
[138, 174]
[140, 141]
[140, 106]
[140, 176]
[141, 142]
[141, 107]
[141, 177]
[141, 176]
[142, 143]
[142, 178]
[142, 177]
[143, 144]
[143, 109]
[143, 178]
[144, 145]
[144, 110]
[145, 181]
[147, 148]
[147, 182]
[148, 149]
[148, 184]
[149, 184]
[153, 154]
[153, 119]
[153, 189]
[153, 188]
[154, 155]
[154, 120]
[154, 190]
[154, 189]
[155, 121]
[155, 190]
[157, 158]
[157, 123]
[157, 193]
[157, 192]
[158, 124]
[158, 194]
[158, 193]
[161, 127]
[161, 197]
[161, 196]
[163, 164]
[163, 129]
[163, 199]
[164, 130]
[164, 200]
[164, 199]
[166, 167]
[166, 132]
[166, 202]
[166, 201]
[167, 168]
[167, 202]
[168, 134]
[168, 204]
[171, 172]
[171, 137]
[171, 207]
[172, 138]
[172, 207]
[174, 209]
[176, 177]
[176, 142]
[176, 211]
[177, 178]
[177, 143]
[177, 213]
[178, 144]
[178, 214]
[178, 213]
[181, 182]
[181, 147]
[182, 148]
[182, 218]
[184, 220]
[184, 219]
[186, 222]
[188, 189]
[188, 154]
[188, 224]
[189, 190]
[189, 155]
[189, 224]
[190, 226]
[192, 193]
[192, 158]
[192, 228]
[192, 227]
[193, 194]
[193, 229]
[193, 228]
[194, 195]
[194, 230]
[194, 229]
[195, 196]
[195, 161]
[195, 231]
[195, 230]
[196, 197]
[196, 232]
[196, 231]
[197, 163]
[197, 232]
[199, 200]
[199, 235]
[199, 234]
[200, 201]
[200, 166]
[200, 235]
[201, 202]
[201, 167]
[201, 237]
[202, 168]
[202, 238]
[202, 237]
[204, 239]
[207, 243]
[209, 244]
[211, 177]
[213, 214]
[214, 215]
[215, 181]
[218, 219]
[218, 184]
[219, 220]
[220, 186]
[222, 188]
[224, 190]
[226, 227]
[226, 192]
[227, 228]
[227, 193]
[228, 229]
[228, 194]
[229, 230]
[229, 195]
[230, 231]
[230, 196]
[231, 232]
[231, 197]
[234, 235]
[234, 200]
[235, 201]
[237, 238]
[238, 239]
[238, 204]
[241, 207]
[243, 244]
[243, 209]
