[0, 1]
[4, 5]
[4, 40]
[4, 39]
[5, 41]
[5, 40]
[8, 44]
[8, 43]
[19, 54]
[21, 56]
[26, 62]
[32, 33]
[33, 34]
[39, 40]
[39, 5]
[39, 75]
[39, 74]
[40, 41]
[40, 76]
[40, 75]
[41, 77]
[41, 76]
[43, 44]
[43, 79]
[44, 45]
[44, 79]
[45, 81]
[53, 54]
[53, 19]
[56, 92]
[58, 59]
[59, 60]
[60, 26]
[64, 99]
[70, 106]
[70, 105]
[73, 74]
[73, 39]
[74, 75]
[74, 40]
[75, 76]
[75, 41]
[76, 77]
[76, 112]
[77, 43]
[77, 113]
[77, 112]
[79, 45]
[81, 117]
[85, 120]
[92, 58]
[99, 134]
[103, 138]
[105, 106]
[105, 140]
[106, 142]
[112, 113]
[112, 147]
[113, 79]
[113, 149]
[117, 152]
[120, 156]
[120, 155]
[125, 161]
[131, 132]
[137, 138]
[137, 103]
[137, 172]
[138, 174]
[140, 106]
[142, 143]
[142, 177]
[143, 144]
[144, 180]
[147, 113]
[147, 182]
[155, 156]
[156, 192]
[172, 138]
[172, 208]
[174, 209]
[177, 143]
[177, 212]
[180, 215]
[189, 155]
[194, 195]
[194, 229]
[195, 161]
[200, 201]
[200, 236]
[200, 235]
[201, 236]
[203, 204]
[203, 239]
[203, 238]
[204, 240]
[204, 239]
[206, 172]
[206, 242]
[208, 209]
[208, 174]
[208, 244]
[208, 243]
[209, 244]
[223, 189]
[229, 195]
[235, 236]
[235, 201]
[238, 239]
[238, 204]
[239, 240]
[240, 206]
[242, 243]
[242, 208]
[243, 244]
[243, 209]
