[2, 38]
[6, 42]
[6, 41]
[9, 10]
[9, 45]
[10, 45]
[18, 19]
[19, 20]
[20, 21]
[20, 56]
[21, 22]
[21, 56]
[22, 58]
[24, 59]
[26, 27]
[26, 61]
[27, 63]
[32, 33]
[32, 68]
[32, 67]
[33, 34]
[33, 68]
[38, 73]
[41, 42]
[41, 77]
[42, 77]
[45, 81]
[51, 52]
[52, 18]
[52, 88]
[56, 22]
[56, 92]
[58, 59]
[58, 24]
[59, 95]
[61, 27]
[63, 29]
[63, 99]
[67, 68]
[67, 33]
[68, 34]
[70, 71]
[70, 105]
[71, 107]
[73, 109]
[79, 45]
[79, 114]
[81, 82]
[81, 117]
[82, 48]
[82, 117]
[85, 51]
[85, 121]
[85, 120]
[88, 124]
[90, 56]
[90, 125]
[92, 58]
[95, 61]
[95, 130]
[99, 100]
[105, 71]
[105, 140]
[107, 73]
[107, 143]
[109, 145]
[114, 150]
[120, 121]
[120, 156]
[121, 122]
[121, 156]
[122, 88]
[124, 125]
[124, 90]
[129, 130]
[129, 95]
[129, 165]
[129, 164]
[130, 165]
[133, 99]
[133, 169]
[143, 109]
[143, 179]
[156, 122]
[156, 192]
[156, 191]
[164, 165]
[164, 130]
[165, 201]
[167, 133]
[167, 202]
[169, 204]
[177, 143]
[177, 213]
[179, 145]
[179, 215]
[184, 150]
[187, 188]
[187, 223]
[187, 222]
[188, 189]
[188, 224]
[188, 223]
[189, 225]
[189, 224]
[191, 192]
[191, 227]
[191, 226]
[192, 227]
[195, 196]
[198, 164]
[201, 202]
[201, 167]
[201, 236]
[204, 240]
[204, 239]
[209, 244]
[213, 179]
[215, 216]
[216, 217]
[217, 218]
[218, 184]
[222, 223]
[222, 188]
[223, 224]
[223, 189]
[224, 225]
[225, 226]
[225, 191]
[226, 227]
[226, 192]
[229, 195]
[235, 236]
[235, 201]
[236, 202]
[239, 240]
