[0, 35]
[2, 3]
[2, 38]
[2, 37]
[3, 38]
[7, 8]
[7, 43]
[7, 42]
[8, 9]
[8, 44]
[8, 43]
[9, 10]
[9, 44]
[10, 11]
[10, 46]
[11, 12]
[11, 47]
[11, 46]
[12, 13]
[12, 48]
[12, 47]
[13, 14]
[13, 48]
[14, 15]
[15, 16]
[18, 54]
[20, 56]
[20, 55]
[23, 24]
[23, 59]
[23, 58]
[24, 25]
[24, 60]
[24, 59]
[25, 26]
[25, 60]
[26, 27]
[26, 62]
[27, 28]
[27, 63]
[27, 62]
[28, 29]
[28, 64]
[28, 63]
[29, 65]
[29, 64]
[33, 34]
[33, 69]
[33, 68]
[34, 69]
[35, 70]
[37, 38]
[37, 3]
[37, 73]
[37, 72]
[38, 74]
[38, 73]
[40, 76]
[42, 43]
[42, 8]
[42, 77]
[43, 44]
[43, 9]
[44, 10]
[46, 47]
[46, 12]
[46, 82]
[47, 48]
[47, 13]
[47, 82]
[48, 14]
[48, 84]
[54, 55]
[54, 20]
[54, 90]
[55, 56]
[55, 90]
[56, 57]
[56, 92]
[57, 58]
[57, 23]
[57, 92]
[58, 59]
[58, 24]
[58, 94]
[59, 60]
[59, 25]
[59, 95]
[59, 94]
[60, 26]
[60, 95]
[62, 63]
[62, 28]
[63, 64]
[63, 29]
[64, 65]
[64, 100]
[65, 66]
[65, 101]
[65, 100]
[66, 67]
[66, 101]
[67, 68]
[67, 33]
[67, 103]
[68, 69]
[68, 34]
[68, 103]
[72, 73]
[72, 38]
[73, 74]
[73, 109]
[74, 40]
[74, 109]
[76, 77]
[76, 42]
[77, 43]
[77, 113]
[82, 48]
[82, 117]
[84, 120]
[84, 119]
[88, 54]
[88, 123]
[90, 56]
[90, 126]
[90, 125]
[92, 58]
[92, 128]
[94, 95]
[94, 60]
[94, 130]
[94, 129]
[95, 131]
[95, 130]
[100, 101]
[100, 66]
[100, 136]
[101, 67]
[101, 137]
[101, 136]
[103, 69]
[103, 138]
[109, 145]
[113, 149]
[113, 148]
[119, 120]
[119, 155]
[119, 154]
[120, 121]
[120, 156]
[120, 155]
[121, 122]
[121, 157]
[121, 156]
[122, 123]
[122, 88]
[122, 157]
[125, 126]
[125, 161]
[125, 160]
[126, 92]
[126, 162]
[126, 161]
[128, 129]
[128, 94]
[128, 164]
[128, 163]
[129, 130]
[129, 95]
[129, 164]
[130, 131]
[130, 166]
[131, 132]
[131, 167]
[131, 166]
[132, 133]
[132, 168]
[132, 167]
[133, 134]
[133, 169]
[133, 168]
[134, 100]
[134, 169]
[136, 137]
[136, 171]
[137, 138]
[137, 103]
[137, 173]
[138, 173]
[142, 143]
[142, 178]
[143, 109]
[143, 179]
[143, 178]
[145, 146]
[145, 181]
[146, 147]
[146, 182]
[146, 181]
[147, 148]
[147, 113]
[147, 182]
[148, 149]
[149, 185]
[151, 117]
[154, 155]
[154, 120]
[154, 189]
[155, 156]
[155, 121]
[155, 191]
[156, 157]
[156, 122]
[156, 191]
[157, 123]
[160, 161]
[160, 126]
[160, 196]
[161, 162]
[161, 196]
[162, 163]
[162, 128]
[162, 198]
[163, 164]
[163, 129]
[163, 198]
[164, 130]
[166, 167]
[166, 132]
[167, 168]
[167, 133]
[167, 203]
[168, 169]
[168, 134]
[168, 203]
[169, 205]
[171, 137]
[171, 207]
[171, 206]
[173, 208]
[175, 210]
[178, 179]
[178, 214]
[178, 213]
[179, 145]
[179, 214]
[181, 182]
[181, 147]
[182, 148]
[185, 151]
[185, 220]
[188, 189]
[188, 154]
[188, 224]
[189, 155]
[189, 225]
[189, 224]
[191, 157]
[191, 227]
[191, 226]
[194, 160]
[194, 229]
[196, 162]
[196, 231]
[198, 164]
[198, 234]
[198, 233]
[203, 169]
[203, 239]
[205, 206]
[205, 171]
[205, 240]
[206, 207]
[207, 208]
[207, 173]
[213, 214]
[213, 179]
[224, 225]
[225, 226]
[225, 191]
[226, 227]
[227, 228]
[228, 229]
[228, 194]
[233, 234]
[236, 237]
[237, 203]
[239, 240]
[239, 205]
[240, 206]
