[0, 35]
[2, 38]
[2, 37]
[4, 40]
[4, 39]
[6, 41]
[8, 44]
[8, 43]
[14, 15]
[15, 16]
[16, 17]
[17, 53]
[22, 23]
[22, 58]
[22, 57]
[23, 59]
[23, 58]
[27, 62]
[29, 65]
[29, 64]
[33, 68]
[35, 70]
[37, 38]
[37, 73]
[37, 72]
[38, 39]
[38, 4]
[38, 74]
[38, 73]
[39, 40]
[39, 75]
[39, 74]
[40, 41]
[40, 6]
[40, 75]
[43, 44]
[43, 79]
[44, 45]
[44, 79]
[45, 46]
[45, 81]
[46, 47]
[46, 82]
[46, 81]
[47, 48]
[47, 82]
[48, 14]
[56, 57]
[56, 22]
[56, 92]
[56, 91]
[57, 58]
[57, 23]
[57, 93]
[57, 92]
[58, 59]
[58, 94]
[58, 93]
[59, 60]
[59, 94]
[60, 96]
[62, 97]
[64, 65]
[64, 100]
[65, 31]
[65, 101]
[65, 100]
[68, 103]
[72, 73]
[72, 38]
[72, 107]
[73, 74]
[73, 39]
[74, 75]
[74, 40]
[74, 110]
[75, 41]
[75, 110]
[79, 45]
[79, 115]
[81, 82]
[81, 47]
[82, 48]
[82, 118]
[90, 91]
[90, 56]
[90, 126]
[90, 125]
[91, 92]
[91, 57]
[91, 127]
[91, 126]
[92, 93]
[92, 58]
[92, 127]
[93, 94]
[93, 59]
[93, 129]
[94, 60]
[94, 129]
[96, 97]
[96, 62]
[96, 132]
[96, 131]
[97, 132]
[100, 101]
[100, 136]
[100, 135]
[101, 102]
[101, 137]
[101, 136]
[102, 103]
[102, 68]
[102, 138]
[102, 137]
[103, 138]
[107, 73]
[110, 146]
[112, 148]
[112, 147]
[115, 81]
[115, 151]
[115, 150]
[118, 154]
[122, 123]
[122, 157]
[123, 124]
[123, 159]
[124, 125]
[124, 90]
[124, 160]
[124, 159]
[125, 126]
[125, 91]
[125, 161]
[125, 160]
[126, 127]
[126, 92]
[126, 162]
[126, 161]
[127, 93]
[127, 162]
[131, 132]
[131, 97]
[131, 167]
[131, 166]
[132, 167]
[135, 136]
[135, 101]
[135, 170]
[136, 137]
[136, 102]
[136, 172]
[137, 138]
[137, 103]
[137, 173]
[137, 172]
[138, 173]
[140, 141]
[140, 176]
[140, 175]
[141, 107]
[141, 177]
[141, 176]
[144, 110]
[144, 180]
[144, 179]
[146, 147]
[146, 112]
[147, 148]
[147, 183]
[148, 149]
[148, 183]
[149, 150]
[149, 115]
[150, 151]
[150, 186]
[151, 152]
[151, 187]
[151, 186]
[152, 118]
[152, 187]
[154, 155]
[154, 189]
[155, 156]
[155, 191]
[156, 157]
[156, 122]
[156, 191]
[157, 123]
[157, 193]
[159, 160]
[159, 125]
[159, 195]
[159, 194]
[160, 161]
[160, 126]
[160, 195]
[161, 162]
[161, 127]
[161, 197]
[162, 198]
[162, 197]
[166, 167]
[166, 132]
[166, 202]
[167, 203]
[167, 202]
[170, 136]
[172, 173]
[172, 138]
[172, 208]
[173, 209]
[173, 208]
[175, 176]
[175, 141]
[175, 211]
[176, 177]
[176, 211]
[179, 180]
[180, 146]
[180, 216]
[183, 149]
[183, 218]
[186, 187]
[186, 152]
[189, 155]
[189, 225]
[191, 157]
[191, 227]
[193, 194]
[193, 159]
[194, 195]
[194, 160]
[194, 230]
[195, 161]
[195, 230]
[197, 198]
[197, 233]
[198, 234]
[198, 233]
[200, 166]
[202, 203]
[202, 238]
[203, 204]
[203, 238]
[204, 170]
[208, 209]
[208, 243]
[211, 177]
[220, 186]
[225, 191]
[227, 193]
[233, 234]
[234, 200]
[238, 204]
[243, 209]
