[6, 42]
[9, 10]
[9, 44]
[10, 46]
[13, 14]
[13, 48]
[14, 50]
[17, 18]
[17, 53]
[18, 19]
[18, 54]
[18, 53]
[19, 20]
[19, 55]
[19, 54]
[20, 21]
[20, 56]
[20, 55]
[21, 56]
[29, 30]
[29, 65]
[29, 64]
[30, 31]
[30, 65]
[33, 68]
[42, 43]
[42, 78]
[42, 77]
[43, 44]
[43, 9]
[43, 79]
[43, 78]
[44, 10]
[44, 79]
[48, 14]
[48, 84]
[50, 86]
[50, 85]
[53, 54]
[53, 19]
[54, 55]
[54, 20]
[55, 56]
[55, 21]
[55, 91]
[56, 92]
[56, 91]
[64, 65]
[64, 30]
[64, 100]
[64, 99]
[65, 31]
[65, 101]
[65, 100]
[68, 103]
[71, 72]
[72, 73]
[72, 108]
[73, 109]
[73, 108]
[77, 78]
[77, 43]
[77, 113]
[77, 112]
[78, 79]
[78, 44]
[78, 114]
[78, 113]
[79, 115]
[79, 114]
[84, 85]
[84, 50]
[84, 120]
[84, 119]
[85, 86]
[85, 121]
[85, 120]
[86, 122]
[86, 121]
[91, 92]
[92, 58]
[96, 97]
[96, 131]
[97, 133]
[99, 100]
[99, 65]
[99, 135]
[99, 134]
[100, 101]
[100, 136]
[100, 135]
[101, 102]
[101, 136]
[102, 103]
[102, 68]
[102, 138]
[103, 138]
[108, 109]
[108, 143]
[109, 145]
[112, 113]
[112, 78]
[112, 148]
[113, 114]
[113, 79]
[113, 148]
[114, 115]
[115, 116]
[115, 151]
[116, 152]
[116, 151]
[118, 119]
[118, 84]
[118, 154]
[119, 120]
[119, 85]
[119, 155]
[119, 154]
[120, 121]
[120, 86]
[120, 156]
[120, 155]
[121, 122]
[121, 156]
[122, 123]
[122, 158]
[123, 124]
[123, 158]
[130, 131]
[130, 96]
[130, 166]
[131, 97]
[131, 166]
[133, 134]
[133, 99]
[133, 168]
[134, 135]
[134, 100]
[135, 136]
[135, 101]
[136, 102]
[140, 141]
[140, 176]
[141, 177]
[141, 176]
[143, 109]
[143, 179]
[143, 178]
[145, 146]
[145, 180]
[146, 112]
[146, 182]
[148, 114]
[151, 152]
[152, 118]
[152, 188]
[154, 155]
[154, 120]
[154, 190]
[155, 156]
[155, 121]
[155, 191]
[155, 190]
[156, 122]
[156, 192]
[156, 191]
[158, 124]
[158, 194]
[164, 130]
[164, 199]
[166, 202]
[168, 134]
[168, 203]
[176, 177]
[176, 211]
[177, 178]
[177, 143]
[177, 213]
[178, 179]
[178, 213]
[179, 180]
[179, 145]
[180, 146]
[182, 148]
[182, 218]
[182, 217]
[185, 151]
[185, 221]
[185, 220]
[188, 154]
[190, 191]
[190, 156]
[190, 225]
[191, 192]
[191, 227]
[192, 158]
[192, 228]
[192, 227]
[194, 195]
[194, 229]
[195, 196]
[196, 197]
[196, 232]
[197, 198]
[197, 233]
[197, 232]
[198, 199]
[198, 164]
[198, 233]
[199, 235]
[202, 203]
[202, 168]
[203, 239]
[211, 177]
[213, 179]
[217, 218]
[220, 221]
[221, 222]
[222, 188]
[225, 191]
[227, 228]
[228, 229]
[228, 194]
[229, 195]
[232, 233]
[232, 198]
[233, 199]
[235, 236]
[236, 202]
[242, 208]
