[4, 5]
[7, 42]
[10, 11]
[11, 12]
[11, 47]
[12, 13]
[12, 48]
[12, 47]
[13, 48]
[15, 16]
[16, 17]
[16, 52]
[17, 53]
[17, 52]
[19, 55]
[22, 23]
[22, 58]
[23, 58]
[26, 27]
[26, 61]
[27, 28]
[27, 63]
[28, 29]
[28, 63]
[34, 69]
[36, 37]
[36, 72]
[37, 72]
[47, 48]
[47, 13]
[47, 82]
[52, 53]
[53, 19]
[53, 89]
[55, 56]
[56, 22]
[58, 94]
[58, 93]
[60, 61]
[60, 26]
[61, 27]
[63, 29]
[63, 99]
[67, 68]
[68, 69]
[68, 34]
[68, 104]
[69, 104]
[72, 107]
[74, 75]
[74, 110]
[75, 76]
[75, 111]
[75, 110]
[76, 42]
[76, 111]
[79, 80]
[79, 115]
[80, 81]
[80, 116]
[80, 115]
[81, 82]
[81, 47]
[81, 116]
[82, 48]
[82, 118]
[86, 52]
[89, 55]
[89, 124]
[93, 94]
[93, 129]
[94, 60]
[94, 129]
[99, 134]
[104, 139]
[105, 106]
[105, 141]
[106, 107]
[106, 72]
[106, 142]
[106, 141]
[107, 142]
[110, 111]
[110, 76]
[110, 145]
[111, 147]
[113, 79]
[113, 148]
[115, 116]
[115, 81]
[116, 82]
[116, 152]
[118, 154]
[123, 124]
[123, 89]
[124, 160]
[129, 164]
[133, 134]
[133, 99]
[136, 137]
[136, 172]
[137, 172]
[139, 174]
[141, 142]
[141, 107]
[141, 177]
[142, 177]
[144, 145]
[144, 110]
[144, 179]
[145, 111]
[147, 148]
[147, 113]
[147, 183]
[148, 184]
[148, 183]
[152, 118]
[152, 188]
[156, 157]
[156, 192]
[156, 191]
[157, 123]
[157, 193]
[157, 192]
[160, 126]
[164, 199]
[166, 167]
[166, 202]
[166, 201]
[167, 133]
[167, 203]
[167, 202]
[172, 208]
[175, 141]
[175, 211]
[175, 210]
[177, 213]
[177, 212]
[179, 145]
[179, 215]
[179, 214]
[183, 184]
[183, 218]
[184, 220]
[188, 154]
[188, 223]
[191, 192]
[191, 157]
[191, 227]
[192, 193]
[192, 227]
[193, 194]
[194, 160]
[201, 202]
[201, 167]
[202, 203]
[206, 172]
[206, 242]
[208, 174]
[208, 244]
[208, 243]
[210, 211]
[211, 212]
[211, 177]
[212, 213]
[213, 214]
[213, 179]
[214, 215]
[217, 218]
[217, 183]
[218, 184]
[227, 193]
[231, 232]
[242, 243]
[242, 208]
[243, 244]
