[0, 35]
[2, 3]
[2, 37]
[8, 44]
[8, 43]
[10, 46]
[10, 45]
[18, 19]
[18, 54]
[18, 53]
[19, 55]
[19, 54]
[21, 22]
[21, 57]
[21, 56]
[22, 58]
[22, 57]
[24, 25]
[24, 60]
[24, 59]
[25, 26]
[25, 61]
[25, 60]
[26, 62]
[26, 61]
[29, 30]
[29, 65]
[30, 31]
[30, 65]
[31, 32]
[32, 33]
[32, 68]
[33, 34]
[33, 69]
[33, 68]
[34, 69]
[35, 71]
[35, 70]
[37, 3]
[37, 73]
[37, 72]
[41, 42]
[41, 77]
[42, 43]
[42, 8]
[42, 77]
[43, 44]
[43, 79]
[44, 45]
[44, 10]
[44, 80]
[44, 79]
[45, 46]
[45, 81]
[45, 80]
[46, 12]
[46, 81]
[49, 50]
[49, 85]
[49, 84]
[50, 85]
[52, 53]
[52, 18]
[52, 87]
[53, 54]
[53, 19]
[53, 89]
[54, 55]
[54, 89]
[55, 56]
[55, 21]
[55, 91]
[56, 57]
[56, 22]
[56, 92]
[56, 91]
[57, 58]
[57, 93]
[57, 92]
[58, 59]
[58, 24]
[58, 94]
[58, 93]
[59, 60]
[59, 25]
[59, 95]
[59, 94]
[60, 61]
[60, 26]
[60, 95]
[61, 62]
[61, 97]
[62, 97]
[65, 31]
[65, 100]
[68, 69]
[68, 34]
[68, 104]
[69, 104]
[70, 71]
[70, 106]
[70, 105]
[71, 72]
[71, 37]
[71, 106]
[72, 73]
[72, 108]
[73, 74]
[73, 108]
[74, 110]
[77, 43]
[77, 113]
[79, 80]
[79, 45]
[79, 115]
[80, 81]
[80, 46]
[80, 115]
[83, 84]
[83, 49]
[83, 119]
[84, 85]
[84, 50]
[84, 120]
[84, 119]
[85, 120]
[87, 53]
[87, 123]
[89, 55]
[89, 125]
[89, 124]
[91, 92]
[91, 57]
[91, 127]
[91, 126]
[92, 93]
[92, 58]
[92, 128]
[92, 127]
[93, 94]
[93, 59]
[93, 128]
[94, 95]
[94, 60]
[95, 61]
[95, 131]
[99, 100]
[99, 65]
[99, 135]
[99, 134]
[100, 136]
[100, 135]
[104, 139]
[105, 106]
[105, 71]
[105, 140]
[106, 72]
[106, 142]
[108, 74]
[108, 144]
[108, 143]
[110, 111]
[110, 146]
[110, 145]
[111, 77]
[111, 146]
[113, 79]
[115, 81]
[115, 151]
[119, 120]
[119, 85]
[119, 155]
[119, 154]
[120, 156]
[120, 155]
[123, 124]
[123, 89]
[124, 125]
[125, 126]
[125, 91]
[126, 127]
[126, 92]
[126, 162]
[127, 128]
[127, 93]
[127, 163]
[127, 162]
[128, 94]
[128, 164]
[128, 163]
[131, 97]
[134, 135]
[134, 100]
[134, 170]
[134, 169]
[135, 136]
[135, 171]
[135, 170]
[136, 137]
[136, 171]
[140, 106]
[140, 176]
[142, 143]
[142, 108]
[143, 144]
[144, 145]
[144, 110]
[144, 180]
[145, 146]
[145, 111]
[145, 181]
[145, 180]
[146, 182]
[146, 181]
[151, 152]
[151, 187]
[151, 186]
[152, 153]
[152, 187]
[153, 154]
[153, 119]
[154, 155]
[154, 120]
[154, 190]
[155, 156]
[155, 190]
[162, 163]
[162, 128]
[162, 198]
[163, 164]
[163, 199]
[163, 198]
[164, 165]
[164, 199]
[165, 131]
[165, 201]
[168, 169]
[168, 134]
[168, 204]
[168, 203]
[169, 170]
[169, 135]
[169, 205]
[169, 204]
[170, 171]
[170, 136]
[170, 206]
[170, 205]
[171, 137]
[171, 207]
[171, 206]
[176, 142]
[176, 211]
[180, 181]
[180, 146]
[180, 216]
[181, 182]
[181, 217]
[181, 216]
[182, 217]
[184, 220]
[186, 187]
[186, 152]
[186, 222]
[186, 221]
[187, 153]
[187, 223]
[187, 222]
[190, 156]
[190, 225]
[195, 196]
[196, 162]
[198, 199]
[198, 164]
[198, 233]
[199, 165]
[201, 237]
[203, 204]
[203, 169]
[203, 239]
[203, 238]
[204, 205]
[204, 170]
[204, 239]
[205, 206]
[205, 171]
[205, 241]
[206, 207]
[206, 242]
[206, 241]
[207, 208]
[207, 242]
[213, 214]
[214, 180]
[216, 217]
[216, 182]
[220, 221]
[220, 186]
[221, 222]
[221, 187]
[222, 223]
[233, 199]
[237, 238]
[237, 203]
[238, 239]
[238, 204]
[239, 205]
[241, 242]
[241, 207]
[242, 208]
