[0, 1]
[4, 40]
[4, 39]
[18, 53]
[20, 55]
[24, 60]
[24, 59]
[26, 27]
[32, 33]
[33, 69]
[39, 40]
[39, 75]
[39, 74]
[40, 75]
[42, 78]
[42, 77]
[44, 10]
[44, 80]
[44, 79]
[49, 85]
[49, 84]
[53, 88]
[59, 60]
[60, 26]
[65, 101]
[65, 100]
[71, 107]
[73, 74]
[73, 39]
[74, 75]
[74, 40]
[75, 111]
[77, 78]
[77, 113]
[77, 112]
[78, 79]
[78, 44]
[78, 114]
[78, 113]
[79, 80]
[79, 115]
[79, 114]
[80, 116]
[80, 115]
[82, 117]
[84, 85]
[84, 119]
[85, 86]
[85, 121]
[86, 87]
[86, 122]
[86, 121]
[87, 88]
[87, 53]
[87, 122]
[92, 127]
[97, 98]
[98, 99]
[98, 134]
[99, 100]
[99, 65]
[99, 134]
[100, 101]
[101, 137]
[105, 71]
[105, 140]
[107, 73]
[107, 142]
[111, 112]
[111, 77]
[111, 146]
[112, 113]
[112, 78]
[112, 148]
[113, 114]
[113, 79]
[113, 148]
[114, 115]
[114, 80]
[115, 116]
[116, 117]
[116, 82]
[116, 152]
[117, 153]
[117, 152]
[119, 85]
[119, 155]
[121, 122]
[121, 87]
[121, 157]
[121, 156]
[122, 88]
[122, 157]
[125, 126]
[126, 127]
[126, 92]
[127, 163]
[131, 97]
[131, 166]
[134, 100]
[137, 173]
[140, 176]
[142, 178]
[142, 177]
[144, 179]
[146, 112]
[146, 182]
[148, 114]
[148, 183]
[152, 153]
[153, 119]
[155, 156]
[155, 121]
[156, 157]
[156, 122]
[156, 192]
[157, 193]
[157, 192]
[163, 199]
[163, 198]
[166, 202]
[171, 137]
[171, 207]
[173, 209]
[176, 177]
[176, 142]
[177, 178]
[178, 179]
[178, 144]
[182, 183]
[182, 148]
[182, 218]
[183, 218]
[186, 152]
[186, 221]
[192, 193]
[192, 228]
[193, 228]
[197, 198]
[197, 163]
[197, 233]
[198, 199]
[198, 233]
[202, 203]
[202, 237]
[205, 171]
[207, 173]
[207, 242]
[209, 244]
[216, 182]
[220, 221]
[220, 186]
[233, 199]
[236, 237]
[236, 202]
[237, 203]
