[0, 36]
[4, 40]
[4, 39]
[7, 42]
[9, 10]
[9, 45]
[10, 45]
[18, 19]
[19, 20]
[19, 55]
[20, 55]
[22, 58]
[22, 57]
[24, 60]
[27, 63]
[31, 32]
[31, 67]
[32, 33]
[32, 67]
[33, 34]
[33, 69]
[34, 69]
[39, 40]
[40, 41]
[41, 42]
[41, 7]
[41, 77]
[42, 78]
[42, 77]
[45, 80]
[47, 82]
[50, 51]
[50, 86]
[51, 52]
[51, 87]
[51, 86]
[52, 18]
[52, 87]
[57, 58]
[57, 92]
[58, 24]
[60, 96]
[63, 98]
[67, 33]
[67, 103]
[67, 102]
[77, 78]
[77, 113]
[77, 112]
[78, 79]
[78, 114]
[78, 113]
[79, 80]
[79, 45]
[79, 114]
[82, 118]
[84, 50]
[84, 120]
[84, 119]
[86, 87]
[86, 52]
[92, 58]
[92, 127]
[96, 97]
[96, 131]
[97, 98]
[97, 63]
[101, 102]
[101, 67]
[101, 137]
[102, 103]
[102, 137]
[103, 69]
[109, 110]
[109, 144]
[110, 111]
[111, 112]
[111, 77]
[112, 113]
[112, 78]
[112, 148]
[113, 114]
[113, 79]
[113, 148]
[114, 80]
[118, 119]
[118, 84]
[118, 154]
[119, 120]
[119, 154]
[120, 86]
[120, 156]
[125, 161]
[125, 160]
[129, 130]
[129, 165]
[129, 164]
[130, 131]
[130, 96]
[130, 165]
[131, 97]
[131, 167]
[135, 101]
[135, 170]
[137, 103]
[141, 177]
[143, 144]
[143, 109]
[143, 178]
[144, 110]
[148, 114]
[148, 183]
[154, 120]
[154, 189]
[156, 192]
[160, 161]
[160, 195]
[161, 127]
[161, 197]
[164, 165]
[164, 130]
[165, 131]
[169, 170]
[169, 135]
[170, 206]
[177, 178]
[177, 143]
[177, 213]
[178, 144]
[178, 214]
[178, 213]
[182, 183]
[182, 148]
[182, 217]
[183, 219]
[185, 186]
[185, 221]
[186, 187]
[186, 221]
[187, 188]
[187, 223]
[188, 189]
[188, 154]
[188, 224]
[188, 223]
[189, 225]
[189, 224]
[192, 193]
[192, 227]
[195, 161]
[195, 230]
[197, 232]
[206, 207]
[210, 211]
[211, 177]
[213, 214]
[216, 217]
[216, 182]
[217, 183]
[219, 185]
[221, 187]
[223, 224]
[223, 189]
[224, 225]
[227, 193]
[235, 236]
[240, 206]
