[0, 1]
[1, 37]
[7, 8]
[8, 9]
[9, 10]
[9, 45]
[10, 45]
[12, 48]
[25, 26]
[25, 61]
[25, 60]
[26, 61]
[30, 66]
[32, 33]
[32, 68]
[33, 34]
[33, 68]
[37, 3]
[37, 73]
[41, 7]
[41, 76]
[48, 49]
[48, 84]
[49, 50]
[49, 85]
[49, 84]
[50, 51]
[50, 86]
[50, 85]
[51, 52]
[51, 87]
[51, 86]
[52, 53]
[52, 87]
[53, 54]
[60, 61]
[60, 26]
[60, 95]
[66, 32]
[68, 34]
[71, 37]
[71, 107]
[71, 106]
[73, 108]
[79, 45]
[79, 114]
[82, 48]
[84, 85]
[84, 50]
[85, 86]
[85, 51]
[86, 87]
[86, 52]
[87, 53]
[87, 123]
[91, 127]
[95, 61]
[106, 107]
[107, 108]
[107, 73]
[110, 76]
[123, 159]
[125, 91]
[127, 163]
[129, 95]
[132, 168]
[134, 170]
[134, 169]
[148, 114]
[157, 123]
[157, 193]
[159, 125]
[163, 129]
[163, 199]
[168, 169]
[168, 134]
[168, 203]
[169, 170]
[169, 205]
[170, 205]
[172, 208]
[177, 178]
[177, 212]
[178, 214]
[182, 148]
[182, 217]
[185, 186]
[185, 221]
[185, 220]
[186, 187]
[186, 222]
[186, 221]
[187, 188]
[187, 223]
[187, 222]
[188, 189]
[188, 223]
[189, 225]
[191, 157]
[191, 227]
[191, 226]
[193, 159]
[203, 169]
[203, 238]
[205, 241]
[205, 240]
[208, 244]
[208, 243]
[212, 178]
[214, 215]
[220, 221]
[220, 186]
[221, 222]
[221, 187]
[222, 223]
[222, 188]
[223, 189]
[225, 226]
[225, 191]
[226, 227]
[227, 193]
[230, 196]
[240, 241]
[243, 244]
