[2, 37]
[4, 5]
[5, 6]
[10, 46]
[10, 45]
[13, 14]
[18, 19]
[22, 57]
[33, 69]
[37, 73]
[45, 46]
[46, 82]
[52, 18]
[52, 88]
[52, 87]
[57, 92]
[62, 63]
[71, 37]
[73, 74]
[79, 45]
[82, 83]
[82, 118]
[83, 84]
[83, 118]
[87, 88]
[94, 95]
[94, 130]
[95, 96]
[95, 131]
[95, 130]
[96, 62]
[96, 132]
[96, 131]
[100, 135]
[102, 138]
[105, 71]
[113, 79]
[113, 149]
[116, 82]
[116, 151]
[118, 84]
[118, 153]
[121, 87]
[121, 157]
[130, 131]
[130, 96]
[130, 166]
[130, 165]
[131, 132]
[131, 166]
[132, 133]
[132, 168]
[133, 169]
[133, 168]
[135, 171]
[138, 139]
[144, 180]
[144, 179]
[149, 150]
[150, 151]
[150, 116]
[151, 187]
[157, 192]
[165, 166]
[165, 131]
[166, 132]
[168, 169]
[168, 204]
[169, 135]
[169, 204]
[171, 172]
[172, 138]
[172, 208]
[176, 212]
[176, 211]
[179, 180]
[179, 215]
[180, 216]
[180, 215]
[183, 149]
[183, 219]
[187, 153]
[187, 222]
[190, 191]
[191, 192]
[191, 157]
[199, 165]
[199, 234]
[204, 240]
[204, 239]
[208, 244]
[208, 243]
[210, 211]
[210, 176]
[211, 212]
[215, 216]
[216, 217]
[217, 183]
[221, 222]
[221, 187]
[231, 232]
[239, 240]
[243, 244]
