[6, 7]
[10, 45]
[15, 50]
[17, 18]
[20, 56]
[20, 55]
[27, 63]
[27, 62]
[30, 31]
[31, 32]
[31, 67]
[32, 68]
[32, 67]
[45, 81]
[45, 80]
[47, 83]
[47, 82]
[55, 56]
[56, 57]
[56, 92]
[57, 58]
[57, 92]
[61, 62]
[61, 27]
[61, 97]
[61, 96]
[62, 63]
[62, 98]
[62, 97]
[63, 64]
[63, 98]
[64, 30]
[64, 100]
[67, 68]
[67, 102]
[68, 34]
[78, 79]
[78, 114]
[78, 113]
[79, 80]
[79, 45]
[79, 114]
[80, 81]
[80, 116]
[81, 82]
[81, 47]
[81, 116]
[82, 83]
[83, 119]
[89, 55]
[89, 125]
[92, 58]
[96, 97]
[96, 62]
[96, 132]
[97, 98]
[97, 63]
[97, 133]
[97, 132]
[98, 64]
[98, 133]
[100, 101]
[101, 102]
[101, 67]
[101, 137]
[102, 68]
[102, 138]
[102, 137]
[105, 141]
[105, 140]
[113, 114]
[113, 79]
[113, 149]
[113, 148]
[114, 80]
[114, 150]
[114, 149]
[116, 82]
[116, 152]
[121, 122]
[121, 156]
[122, 158]
[129, 130]
[129, 165]
[130, 96]
[130, 165]
[132, 133]
[132, 98]
[132, 168]
[133, 168]
[137, 138]
[137, 173]
[137, 172]
[138, 174]
[138, 173]
[140, 141]
[140, 176]
[140, 175]
[141, 142]
[141, 176]
[142, 143]
[145, 180]
[148, 149]
[148, 114]
[148, 184]
[149, 150]
[149, 185]
[149, 184]
[150, 116]
[150, 185]
[152, 153]
[152, 187]
[153, 119]
[156, 122]
[156, 192]
[156, 191]
[158, 194]
[162, 198]
[162, 197]
[165, 200]
[172, 173]
[172, 138]
[172, 208]
[173, 174]
[173, 208]
[175, 176]
[175, 141]
[176, 142]
[176, 212]
[184, 185]
[184, 150]
[184, 220]
[184, 219]
[185, 221]
[185, 220]
[187, 153]
[191, 192]
[192, 158]
[194, 230]
[197, 198]
[197, 233]
[198, 233]
[200, 235]
[202, 168]
[202, 238]
[208, 174]
[214, 180]
[217, 218]
[218, 219]
[218, 184]
[219, 220]
[219, 185]
[220, 221]
[221, 187]
[225, 191]
[242, 208]
